Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Assistant Triage Result,Assistant Triage Reason,Assistant Component,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
171436119,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43464-1.java#L39,https://semgrep.dev/orgs/lucamorelli/findings/171436119,2025-04-15 14:37:24.780441,2025-04-15 14:37:24.672569,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171436118,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43464-1.java#L47,https://semgrep.dev/orgs/lucamorelli/findings/171436118,2025-04-15 14:37:24.780424,2025-04-15 14:37:24.672564,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171436117,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43464-1.java#L64,https://semgrep.dev/orgs/lucamorelli/findings/171436117,2025-04-15 14:37:24.780407,2025-04-15 14:37:24.672560,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171436116,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43464-1.java#L79,https://semgrep.dev/orgs/lucamorelli/findings/171436116,2025-04-15 14:37:24.780391,2025-04-15 14:37:24.672555,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171436111,java.lang.security.audit.crypto.use-of-aes-ecb.use-of-aes-ecb,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-2.java#L496,https://semgrep.dev/orgs/lucamorelli/findings/171436111,2025-04-15 14:37:24.780308,2025-04-15 14:37:24.672531,refs/heads/main,,,,"Use of AES with ECB mode detected. ECB doesn't provide message confidentiality and  is not semantically secure so should not be used. Instead, use a strong, secure cipher: Cipher.getInstance(""AES/CBC/PKCS7PADDING""). See https://owasp.org/www-community/Using_the_Java_Cryptographic_Extensions for more information."
171436108,java.lang.security.audit.crypto.use-of-aes-ecb.use-of-aes-ecb,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-3.java#L630,https://semgrep.dev/orgs/lucamorelli/findings/171436108,2025-04-15 14:37:24.780258,2025-04-15 14:37:24.672517,refs/heads/main,,,,"Use of AES with ECB mode detected. ECB doesn't provide message confidentiality and  is not semantically secure so should not be used. Instead, use a strong, secure cipher: Cipher.getInstance(""AES/CBC/PKCS7PADDING""). See https://owasp.org/www-community/Using_the_Java_Cryptographic_Extensions for more information."
171436105,java.lang.security.audit.crypto.use-of-aes-ecb.use-of-aes-ecb,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-4.java#L636,https://semgrep.dev/orgs/lucamorelli/findings/171436105,2025-04-15 14:37:24.780207,2025-04-15 14:37:24.672503,refs/heads/main,,,,"Use of AES with ECB mode detected. ECB doesn't provide message confidentiality and  is not semantically secure so should not be used. Instead, use a strong, secure cipher: Cipher.getInstance(""AES/CBC/PKCS7PADDING""). See https://owasp.org/www-community/Using_the_Java_Cryptographic_Extensions for more information."
171436103,java.lang.security.audit.crypto.use-of-aes-ecb.use-of-aes-ecb,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-5.java#L659,https://semgrep.dev/orgs/lucamorelli/findings/171436103,2025-04-15 14:37:24.780174,2025-04-15 14:37:24.672493,refs/heads/main,,,,"Use of AES with ECB mode detected. ECB doesn't provide message confidentiality and  is not semantically secure so should not be used. Instead, use a strong, secure cipher: Cipher.getInstance(""AES/CBC/PKCS7PADDING""). See https://owasp.org/www-community/Using_the_Java_Cryptographic_Extensions for more information."
171436100,java.lang.security.audit.crypto.use-of-aes-ecb.use-of-aes-ecb,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-6.java#L700,https://semgrep.dev/orgs/lucamorelli/findings/171436100,2025-04-15 14:37:24.780122,2025-04-15 14:37:24.672479,refs/heads/main,,,,"Use of AES with ECB mode detected. ECB doesn't provide message confidentiality and  is not semantically secure so should not be used. Instead, use a strong, secure cipher: Cipher.getInstance(""AES/CBC/PKCS7PADDING""). See https://owasp.org/www-community/Using_the_Java_Cryptographic_Extensions for more information."
171377502,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/before_crs/before_CR_20734-1.java#L11,https://semgrep.dev/orgs/lucamorelli/findings/171377502,2025-04-15 13:04:08.638918,2025-04-15 13:04:08.609521,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171377501,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/before_crs/before_CR_39572-1.java#L461,https://semgrep.dev/orgs/lucamorelli/findings/171377501,2025-04-15 13:04:08.638902,2025-04-15 13:04:08.609511,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171377500,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/before_crs/before_CR_43464-1.java#L32,https://semgrep.dev/orgs/lucamorelli/findings/171377500,2025-04-15 13:04:08.638886,2025-04-15 13:04:08.609501,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171377499,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/before_crs/before_CR_43464-1.java#L42,https://semgrep.dev/orgs/lucamorelli/findings/171377499,2025-04-15 13:04:08.638870,2025-04-15 13:04:08.609491,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171377498,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/before_crs/before_CR_43464-1.java#L49,https://semgrep.dev/orgs/lucamorelli/findings/171377498,2025-04-15 13:04:08.638854,2025-04-15 13:04:08.609481,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171377497,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/before_crs/before_CR_43464-1.java#L59,https://semgrep.dev/orgs/lucamorelli/findings/171377497,2025-04-15 13:04:08.638837,2025-04-15 13:04:08.609471,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171377496,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/before_crs/before_CR_43464-1.java#L73,https://semgrep.dev/orgs/lucamorelli/findings/171377496,2025-04-15 13:04:08.638821,2025-04-15 13:04:08.609460,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
171377495,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/before_crs/before_CR_43464-1.java#L88,https://semgrep.dev/orgs/lucamorelli/findings/171377495,2025-04-15 13:04:08.638805,2025-04-15 13:04:08.609449,refs/heads/main,,,,"Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead."
